Difficulty,Stimulus,Correct,Foil1,Foil2,Foil3,Label
1,"['3 - 2', '4 - 3', '3 - 1', '2 - 1', '4 - 1', '4 - 2']","['1', '1', '2', '1', '3', '2']","['2', '2', '1', '3', '1', '3']","['4', '4', '5', '5', '6', '5']","['6', '6', '7', '6', '8', '7']","subtraction range 1-4, no carrying"
2,"['9 - 8', '3 - 2', '9 - 1', '7 - 3', '8 - 1', '4 - 1', '8 - 3', '7 - 5', '2 - 1', '6 - 4', '3 - 1', '8 - 5', '8 - 6', '5 - 2', '9 - 2', '6 - 2']","['1', '1', '8', '4', '7', '3', '5', '2', '1', '2', '2', '3', '2', '3', '7', '4']","['3', '3', '10', '6', '6', '1', '7', '4', '2', '4', '3', '4', '1', '4', '6', '5']","['5', '4', '12', '7', '3', '7', '1', '5', '5', '5', '6', '7', '5', '6', '10', '8']","['7', '6', '2', '9', '1', '9', '10', '7', '6', '8', '8', '8', '8', '8', '2', '9']","subtraction range 1-9, no carrying"
3,"['13 - 3', '16 - 4', '19 - 2', '16 - 6', '12 - 2', '15 - 2', '18 - 8', '19 - 4', '17 - 3', '18 - 4', '12 - 1', '17 - 2', '18 - 3', '19 - 9', '15 - 5', '14 - 3']","['10', '12', '17', '10', '10', '13', '10', '15', '14', '14', '11', '15', '15', '10', '10', '11']","['11', '10', '15', '9', '12', '14', '11', '13', '15', '12', '10', '13', '13', '8', '9', '13']","['13', '9', '13', '13', '13', '10', '6', '18', '10', '18', '7', '18', '18', '6', '7', '14']","['4', '6', '22', '4', '5', '18', '5', '9', '9', '20', '6', '9', '21', '15', '4', '16']","subtraction two-digit and one-digit, no carrying"
4,"['15 - 7', '16 - 7', '15 - 9', '17 - 8', '15 - 8', '12 - 4', '11 - 6', '12 - 5', '13 - 5', '14 - 8', '15 - 6', '17 - 9', '11 - 7', '11 - 9', '12 - 9', '12 - 8']","['8', '9', '6', '9', '7', '8', '5', '7', '8', '6', '9', '8', '4', '2', '3', '4']","['7', '11', '7', '11', '6', '10', '7', '8', '6', '8', '10', '7', '5', '4', '2', '6']","['11', '5', '2', '6', '4', '5', '9', '3', '11', '2', '6', '4', '7', '5', '6', '7']","['2', '3', '12', '14', '13', '13', '11', '2', '2', '11', '15', '3', '9', '7', '8', '9']","subtraction two-digit and one-digit, with carrying"
5,"['86 - 80', '97 - 90', '15 - 10', '81 - 80', '89 - 80', '64 - 60', '92 - 90', '83 - 80', '62 - 60', '29 - 20', '23 - 20', '56 - 50', '77 - 70', '46 - 40', '51 - 50', '35 - 30']","['6', '7', '5', '1', '9', '4', '2', '3', '2', '9', '3', '6', '7', '6', '1', '5']","['7', '9', '3', '3', '10', '3', '3', '4', '1', '11', '4', '4', '6', '8', '3', '4']","['10', '3', '9', '5', '13', '7', '6', '6', '5', '6', '7', '2', '3', '9', '4', '9']","['11', '1', '10', '7', '15', '10', '7', '9', '8', '4', '8', '11', '1', '12', '7', '10']",subtraction one-digit to multiples of 10
6,"['85 - 72', '95 - 84', '56 - 50', '46 - 40', '66 - 45', '71 - 30', '61 - 40', '76 - 43', '77 - 60', '66 - 22', '43 - 42', '48 - 41', '60 - 30', '79 - 17', '89 - 43', '86 - 70']","['13', '11', '6', '6', '21', '41', '21', '33', '17', '44', '1', '7', '30', '62', '46', '16']","['14', '10', '4', '7', '31', '31', '31', '43', '15', '54', '3', '8', '40', '72', '56', '17']","['16', '7', '10', '3', '19', '37', '19', '36', '20', '40', '5', '4', '27', '68', '51', '12']","['18', '5', '1', '11', '29', '47', '9', '46', '12', '30', '7', '1', '17', '58', '61', '22']","subtraction 2-digit, no carrying"
7,"['6.9 - 3.8', '8.8 - 5.4', '6.7 - 3.5', '9.8 - 4.8', '9.9 - 3.7', '9.4 - 4.3', '9.7 - 7.3', '9.9 - 5.6', '7.9 - 4.9', '6.8 - 4.5', '3.8 - 2.2', '7.8 - 6.4', '9.5 - 8.5', '7.3 - 6.3', '8.8 - 2.5', '7.9 - 3.1']","['3.1', '3.4', '3.2', '5', '6.2', '5.1', '2.4', '4.3', '3', '2.3', '1.6', '1.4', '1', '1', '6.3', '4.8']","['2.1', '4.4', '2.2', '6', '5.2', '4.1', '1.4', '5.3', '4', '3.3', '0.6', '0.4', '2', '2', '7.3', '5.8']","['3.5', '4.3', '3.4', '5.2', '6', '4.6', '2.5', '4.1', '2.2', '1.9', '1.5', '2.2', '1.8', '0.7', '6.1', '4.6']","['2.5', '3.3', '4.4', '4.2', '5', '5.6', '3.5', '5.1', '1.2', '0.9', '0.5', '1.2', '0.8', '1.7', '5.1', '3.6']","Decimal subtraction range 1-9, no carrying"
8,"['72 - 18', '41 - 26', '75 - 69', '90 - 58', '92 - 67', '66 - 39', '91 - 19', '84 - 35', '60 - 17', '84 - 79', '95 - 19', '66 - 59', '22 - 17', '71 - 45', '94 - 47', '71 - 54']","['54', '15', '6', '32', '25', '27', '72', '49', '43', '5', '76', '7', '5', '26', '47', '17']","['64', '13', '7', '42', '35', '17', '62', '39', '33', '4', '86', '6', '6', '16', '57', '15']","['49', '12', '9', '35', '22', '30', '79', '54', '39', '1', '68', '10', '8', '29', '52', '13']","['59', '10', '12', '45', '32', '20', '89', '64', '29', '10', '58', '2', '11', '19', '42', '22']","subtraction 2-digit, with carrying"
9,"['9.7 - 7.8', '5.1 - 3.6', '8.2 - 6.8', '8.4 - 5.8', '5.4 - 2.7', '5.4 - 2.8', '8.1 - 3.5', '6.3 - 2.5', '7.3 - 5.9', '8.2 - 3.6', '5.1 - 1.8', '5.3 - 1.4', '6.1 - 3.3', '3.1 - 1.7', '8.3 - 6.8', '9.4 - 4.9']","['1.9', '1.5', '1.4', '2.6', '2.7', '2.6', '4.6', '3.8', '1.4', '4.6', '3.3', '3.9', '2.8', '1.4', '1.5', '4.5']","['0.9', '2.5', '0.4', '1.6', '3.7', '1.6', '5.6', '4.8', '2.4', '5.6', '4.3', '2.9', '1.8', '0.4', '0.5', '3.5']","['2.1', '0.6', '0.6', '3.1', '3.5', '1.8', '5.2', '3.4', '2.1', '4.8', '4.1', '4.4', '3.4', '1.1', '1.7', '5.1']","['1.1', '1.6', '1.6', '2.1', '4.5', '2.8', '6.2', '2.4', '3.1', '3.8', '5.1', '5.4', '2.4', '2.1', '0.7', '4.1']","Decimal subtraction range 1-9, with carrying"
10,"['796 - 58', '826 - 52', '509 - 43', '514 - 62', '257 - 59', '233 - 47', '123 - 58', '155 - 70', '760 - 64', '944 - 78', '616 - 88', '420 - 14', '978 - 82', '630 - 88', '420 - 78', '109 - 77']","['738', '774', '466', '452', '198', '186', '65', '85', '696', '866', '528', '406', '896', '542', '342', '32']","['728', '764', '456', '462', '188', '196', '75', '75', '706', '876', '518', '396', '886', '552', '332', '22']","['664', '697', '513', '407', '218', '205', '58', '94', '766', '779', '475', '365', '986', '596', '308', '29']","['674', '687', '503', '397', '228', '215', '68', '84', '756', '789', '465', '375', '976', '586', '298', '19']",3-digit to 2-digit subtraction
